data;fase;views;likes;comentarios;compartilhamentos;tema;categoria
2024-09-17;reta-final;13700;206;45;1;Meu voto é secreto, mas haverá sinais;resposta-ataque
2024-09-18;reta-final;5300;82;0;0;Parabéns professores (2º lugar IDEB);proposta
2024-09-19;reta-final;8900;278;52;0;Depoimento eleitor (Darli);testemunho
2024-09-22;reta-final;11500;257;31;4;Pesquisa suspensa (Instituto Direta);pesquisa
2024-09-23;reta-final;9600;176;36;2;Depoimento Edimilson Bottechia;testemunho
2024-09-25;reta-final;56500;678;60;14;Pesquisa: Boteccia 25,4% (2º), Boldrini 11,5% (3º);pesquisa
2024-09-24;reta-final;8000;300;36;0;4 mil seguidores no Instagram;marco
2024-09-25;reta-final;7600;207;8;12;Cobertura especial Eleições 2024 (pesquisa);pesquisa
2024-09-25;reta-final;34300;452;39;1;Apoio do presidente da Assembleia Legislativa;coligacao
2024-09-26;reta-final;13100;475;42;4;"Discurso de rua ""Eu tenho""";evento
2024-09-27;reta-final;9500;189;9;2;Pesquisa estimulada: Hugo Luiz 51,2%;pesquisa
2024-09-27;reta-final;13000;128;6;0;Propostas de segurança pública;proposta
2024-09-29;reta-final;11500;133;8;2;Para votar 11 com pressão (contagem regressiva);contagem-regressiva
2024-10-01;reta-final;5700;110;9;8;5 dias para votar 11;contagem-regressiva
2024-10-02;reta-final;11800;341;1;5;Caminhada bairro Santa Terezinha;evento
2024-10-02;reta-final;10900;146;11;15;Candidatos a vereador do Republicanos;coligacao
2024-10-02;reta-final;11600;151;5;10;Candidatos a vereador do Progressistas;coligacao
2024-10-03;reta-final;15200;34;77;0;Matéria ES Agora: 67% acredita em vitória;midia
2024-10-03;reta-final;11100;315;5;5;Bairro da Cachoeirinha;evento
2024-10-04;reta-final;14800;376;12;8;Visitas Ipanema e Ouro Branco;evento
2024-10-04;reta-final;31800;872;113;258;Muito obrigado por cada abraço (véspera);testemunho
2024-10-05;reta-final;17200;341;25;26;Nota de felicidade: amanhã é dia de mudar a história;marco
2024-10-05;reta-final;12500;291;3;9;Último vídeo da campanha;evento
2024-10-06;resultado;12700;446;21;12;Parabéns, prefeito eleito!;resultado
2024-10-06;resultado;25000;922;62;19;Celebração nas ruas (registro 1);resultado
2024-10-06;resultado;41200;1218;106;158;Celebração nas ruas (registro 2);resultado
2024-10-06;resultado;31000;1627;191;23;Muito obrigado pelos 5.779 votos;resultado
2024-08-30;campanha;7700;225;30;0;O povo quer, ninguém segura, Hugo Luiz na prefeitura (repost);evento
2024-09-04;reta-final;7500;96;8;0;Convite: Roda de Conversa com a Terceira Idade;evento
2024-09-05;reta-final;76800;345;64;0;Pesquisa: Hugo Luiz com 57,4% de intenção de voto;pesquisa
2024-05-08;pre-campanha;1500;24;2;0;Convocação: sessão ordinária 08/05 (2º post);administrativo
2024-09-25;reta-final;7000;208;21;0;Depoimento de eleitora;testemunho
2024-09-26;reta-final;7400;159;8;9;Coordenadora de campanha;evento
2024-09-26;reta-final;5100;116;13;0;Depoimento de jovem eleitor no carro;testemunho
2024-09-27;reta-final;8300;207;15;0;Discurso a produtores rurais;proposta
2024-09-29;reta-final;10300;271;40;3;Depoimento da professora Francisca;testemunho
2024-09-29;reta-final;9600;221;16;6;Depoimento de jovem eleitora;testemunho
2024-09-30;reta-final;4600;94;0;0;Parceria com Erick Musso (Republicanos);coligacao
2024-09-30;reta-final;8900;208;9;6;Parceria esportiva (Ícone);coligacao
2024-10-01;reta-final;13500;391;8;9;Visita ao bairro Imigrantes;evento
2024-10-01;reta-final;17000;344;39;48;O aumento abusivo do IPTU te custou caro;resposta-ataque
2024-10-01;reta-final;14200;988;82;4;Homenagem por diploma no Legislativo;marco
2024-10-02;reta-final;2900;86;2;3;4 dias para votar 11;contagem-regressiva
2024-10-02;reta-final;10600;152;19;12;Conheça nossos candidatos a vereador do PSDB;coligacao
2024-10-02;reta-final;7100;203;19;27;Vídeo com criança;evento
2024-10-03;reta-final;4600;85;4;5;3 dias para votar 11;contagem-regressiva
2024-10-03;reta-final;10600;196;16;51;Bom dia população (saúde);proposta
2024-10-03;reta-final;24400;533;46;76;Pesquisa: Hugo Luiz com 61,7% de intenção de voto;pesquisa
2024-10-03;reta-final;5400;147;9;5;2 dias para votar 11;contagem-regressiva
2024-10-04;reta-final;9900;218;16;19;Depoimento de Fabiana;testemunho
2024-10-04;reta-final;8300;173;3;9;Para mudar, digite 11 (com deputado);proposta
2024-09-09;reta-final;8100;115;6;0;Propostas de saúde e família;proposta
2024-09-09;reta-final;12700;104;13;0;Caminhada confirmada com deputado federal;evento
2024-09-12;reta-final;11500;183;21;0;Coligação Renovação e Juventude (terceira idade);coligacao
2024-09-13;reta-final;41100;365;64;1;Proposta de saneamento básico;proposta
2024-09-13;reta-final;8400;340;27;0;O povo quer Hugo Luiz na prefeitura;evento
2024-09-13;reta-final;24400;636;98;1;Celebração de rua;evento
2024-09-13;reta-final;9600;182;27;1;Apoio do deputado Messias Donato;coligacao
2024-09-13;reta-final;8800;604;61;0;Estamos quebrando as algemas;proposta
2024-09-13;reta-final;10000;270;41;0;Caminhada;evento
2024-09-13;reta-final;12100;137;15;1;Propostas de educação;proposta
2024-09-16;reta-final;19500;480;77;3;Situação da rodovia ES-376;proposta
2024-09-17;reta-final;10700;210;24;0;Reforma do Clube Tororoma;proposta
2024-09-18;reta-final;5500;132;13;1;Propostas de saúde;proposta
2024-09-19;reta-final;8900;279;46;0;Depoimento de jovem eleitor;testemunho
2024-09-19;reta-final;9700;217;57;0;Comunidade Sagrada Família;evento
2024-09-23;reta-final;8100;240;50;2;Depoimento de Aninha Sartori;testemunho
2024-09-23;reta-final;7600;164;21;0;Propostas para a agricultura;proposta
2024-09-24;reta-final;7400;261;41;0;Depoimento em vídeo;testemunho
2024-09-24;reta-final;5200;142;20;0;Depoimento de Francisco Gottardo;testemunho
2024-09-24;reta-final;11500;381;33;5;Somos 11 (com deputado federal);coligacao
2024-09-24;reta-final;13100;548;37;2;Visita ao Sicoob;evento
2024-09-25;reta-final;6500;206;24;0;Dias para votar no 11;contagem-regressiva
